Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
3M Company,Health Care,9.0,1.86316772225,0.33023142650000004,0.15273716850000002,0.21955757225,0.553381044,1.2867638315,0.3337024635,0.19679172425,AA
ABB Ltd,Consumer Durables,8.0,1.51531565225,0.32238603525,0.070720958,0.07397444975,0.61281092975,1.642079711,0.1686824825,0.09662798,A
"ACI Worldwide, Inc.",Technology,6.0,1.262621528,0.275054977,0.073841985,0.142263865,0.676728795,2.093377893,0.117470489,0.16003413,BB
ADT Inc.,Consumer Services,6.0,0.577683616,0.093220339,0.539162113,0.029143898,0.703479003,2.372442455,0.094629156,0.06557377,BB
AECOM,Consumer Services,6.0,1.2737196050000001,0.15885772866666667,0.008139271666666666,0.023655960333333333,0.712850909,2.6414813096666667,0.04454100833333333,0.04413579466666667,BB
AGCO Corporation,Capital Goods,6.833333333333333,1.5441816625,0.26291376650000003,0.04562405116666667,0.0627348125,0.5625666633333334,1.2973441793333333,0.127602601,0.06477769916666666,BBB
"AMAG Pharmaceuticals, Inc.",Health Care,5.5,2.381780833,0.9033560525,0.036850210499999994,0.2070637545,0.62410061,1.6603094884999998,0.016251645,0.3461061285,BB
"AMC Entertainment Holdings, Inc.",Consumer Services,5.0,0.574881222,0.174129449,0.034509368,0.065781252,0.767450709,3.30016361,0.055565286,0.133397881,B
AMC Networks Inc.,Consumer Services,6.0,2.4367979676666667,0.6575579173333334,0.13001576133333334,0.302959092,1.342836014666667,-4.229178742,-0.2617959633333334,0.201530997,BB
AT&T Inc.,Public Utilities,7.75,0.76995181525,0.15044250650000002,0.053016352,0.1030168005,0.66602007475,2.028897404,0.07219831575,0.26441521675,A
AbbVie Inc.,Health Care,7.5,1.5330856635,0.6268498899999999,0.16053607749999999,0.268455487,0.933312703,14.035599075,1.1512253970000002,0.226218509,A
"Acadia Healthcare Company, Inc.",Health Care,5.0,1.652120723,0.566731351,0.082659683,0.125576224,0.603809605,1.52403898,0.094260271,0.114757998,B
Accenture plc,Miscellaneous,8.0,1.4366091948333333,0.649479741,0.09670345516666667,0.1345945005,0.6980838469999999,2.3849580011666665,0.570000019,0.12377146366666668,A
Acco Brands Corporation,Consumer Durables,6.0,1.9036093608333333,0.17143686316666665,0.05412369983333334,0.09460979483333333,0.759854106,-1.1968067711666668,-0.03476895166666667,0.07905658033333333,BB
